stroke_sign_vs_slider,vpp_v,freq_hz,voltage_amp_v,right_stroke_amp_rad,left_stroke_amp_rad,right_stroke_amp_deg,right_stroke_offset_deg,stroke_gain_deg_per_v,stroke_phase_deg,right_slider_amp_m,slider_phase_deg,transmission_ratio_rad_per_m,stroke_residual_ratio,measure_rows
-1.0,50.0,165.0,25.00000000000001,0.1677665329615035,0.16769539628713576,9.612314282236563,-0.2766885719901818,0.38449257128946235,-116.70804158240949,6.738351676928522e-05,-116.6016127577719,2489.7265830740216,0.0542756913178212,1001
-1.0,50.0,170.0,25.000000000000004,0.1574261885244472,0.15614318111093298,9.019856187281658,-0.2616540675985092,0.36079424749126626,-122.30151400002428,6.323139424241282e-05,-122.19927901133751,2489.683968076299,0.05715260087457868,1001
-1.0,50.0,175.0,24.999999999999996,0.1460473361716511,0.15058330243325993,8.367895971763934,-0.22572459976586243,0.3347158388705574,-126.9329174633702,5.866275782251588e-05,-126.83503158668277,2489.6091079372227,0.06645167829281157,1001
-1.0,50.0,180.0,25.000000000000004,0.13686910127120003,0.1361137351392669,7.842021848588412,-0.21507641694752178,0.31368087394353644,-134.1661236276795,5.497329987663513e-05,-134.07550654011067,2489.7377741257337,0.055572161280703664,1001
-1.0,50.0,185.0,25.00000000000001,0.11948516507962975,0.11850379396549242,6.845995673486709,-0.1788610072688431,0.27383982693946823,-139.6516280627967,4.798799210525194e-05,-139.56262587321257,2489.897156304503,0.06589534721886516,1001
-1.0,50.0,190.0,24.999999999999993,0.11531565493761967,0.11330792452460423,6.607100339712539,-0.17912759167943265,0.2642840135885016,-140.03332054608967,4.6316709439100045e-05,-139.9483305435937,2489.720369475805,0.10797880365216889,1001
-1.0,50.0,195.0,24.999999999999996,0.10655419358789181,0.10528763273299667,6.105105582006139,-0.16475526950178107,0.2442042232802456,-143.38689104099495,4.279644128956253e-05,-143.30338314379125,2489.790982080534,0.12701318147684532,1000
-1.0,50.0,200.0,24.999999999999993,0.09993815397836038,0.09931733281000266,5.726034435288607,-0.1338305268020661,0.22904137741154434,-145.71472679250414,4.014432021738894e-05,-145.6355969527204,2489.471821597096,0.14161722554958237,1000
-1.0,50.0,205.0,24.99999999999999,0.09255307199913088,0.09294896652897183,5.302900406520636,-0.12744176258616405,0.21211601626082552,-148.7223561498721,3.71784000623637e-05,-148.64357040439168,2489.431278481073,0.1407939577869483,1001
-1.0,50.0,210.0,24.99999999999998,0.08577479176543547,0.08596201030408854,4.91453355677294,-0.11555199577287135,0.19658134227091778,-150.35587290373815,3.445527187549448e-05,-150.27850010216676,2489.453343319599,0.17398327669225477,1000
