stroke_sign_vs_slider,vpp_v,freq_hz,voltage_amp_v,right_stroke_amp_rad,left_stroke_amp_rad,right_stroke_amp_deg,right_stroke_offset_deg,stroke_gain_deg_per_v,stroke_phase_deg,right_slider_amp_m,slider_phase_deg,transmission_ratio_rad_per_m,stroke_residual_ratio,measure_rows
-1.0,50.0,330.0,25.00000000000001,0.03248204085630903,0.032510658466056365,1.8610838510380137,-0.0023918432920147564,0.07444335404152051,-172.71227129006076,1.3056492494136613e-05,-172.6911153430433,2487.8075693679602,0.1671554734290618,1001
-1.0,50.0,335.0,25.00000000000003,0.03063797411670714,0.030479221880714103,1.7554266097183753,-0.01341816618811291,0.07021706438873493,-172.9625462299787,1.2313704047430506e-05,-172.9377226803258,2488.120065148094,0.21345652831387887,1000
-1.0,50.0,340.0,25.000000000000004,0.030289102772963088,0.030369386266597492,1.7354377541287835,-0.018143869015209084,0.06941751016515132,-173.94221952706022,1.2174010352421488e-05,-173.91707071114124,2488.0135547887385,0.17418638881845194,1001
-1.0,50.0,345.0,24.999999999999996,0.029263763725885975,0.029422683550570122,1.6766901541612993,-0.02529280510342461,0.06706760616645198,-174.9646572991917,1.1762085594387615e-05,-174.94116153974286,2487.9740494193857,0.17774377365675523,1001
-1.0,50.0,350.0,24.999999999999996,0.028514150431402506,0.028606349619789743,1.6337404761204992,-0.0327817296635109,0.06534961904481998,-175.74437978874496,1.1460525011389374e-05,-175.72171494665395,2488.031778916357,0.17919840584630212,1001
-1.0,50.0,355.0,25.0,0.02671647448716276,0.02676636566412263,1.5307412315833666,-0.015070138427703517,0.061229649263334664,-175.7630261983689,1.0737523043565523e-05,-175.7425421955796,2488.1412946696905,0.2277169734771644,1000
-1.0,50.0,360.0,25.000000000000004,0.026944211455796823,0.027066364748739666,1.5437895987252017,-0.01493489644876022,0.06175158394900806,-176.76001418244655,1.0830225339813452e-05,-176.7426039663459,2487.8717303088847,0.1792385420167313,1001
-1.0,50.0,365.0,25.000000000000004,0.025209271281878314,0.025190936448511496,1.4443848490519782,-0.01331426733826183,0.05777539396207912,-176.4212828345531,1.0131671670077164e-05,-176.40111613993244,2488.16504351708,0.2230543683983249,1000
-1.0,50.0,370.0,25.00000000000001,0.025745091977289334,0.025789606414936234,1.4750851134747942,-0.013536560255291053,0.05900340453899174,-177.69077115918083,1.0348762157353762e-05,-177.676185540356,2487.7460304752526,0.14554137245884632,1001
-1.0,50.0,375.0,24.999999999999996,0.024142849766071367,0.024378689969788273,1.3832833970142961,-0.017902085945584987,0.055331335880571854,-178.0552940915805,9.7033490820441e-06,-178.03783868793477,2488.0945292123256,0.22901324694381334,1000
-1.0,50.0,380.0,24.999999999999993,0.023607394668972034,0.02382407071077746,1.3526040798317367,-0.01285226803006595,0.05410416319326948,-178.80918250391977,9.488718250051284e-06,-178.79701716991556,2487.94347633248,0.24574561318038896,1001
-1.0,50.0,385.0,25.000000000000007,0.024532661377130487,0.024600338026689192,1.4056179571331788,-0.010892843861316477,0.05622471828532714,-178.66330158581428,9.86227416492776e-06,-178.6515461491715,2487.5257944433943,0.08075461978067962,1001
-1.0,50.0,390.0,24.999999999999996,0.023271714389002305,0.02358089037563391,1.3333710165237014,-0.019003078223122343,0.05333484066094806,179.76204167059393,9.354612250450317e-06,179.77044671565727,2487.7262430500036,0.20225226659942916,1000
-1.0,50.0,395.0,25.0,0.02299112104421016,0.02315243673557132,1.3172942021076524,-0.008422056563678153,0.0526917680843061,-179.70210813076716,9.242402536706576e-06,-179.69130094196626,2487.56975828525,0.14121901874538081,1000
-1.0,50.0,400.0,24.999999999999993,0.022775597409279317,0.022760335098365326,1.3049456074407968,-0.01154817844753961,0.05219782429763189,179.6820182593549,9.156081401362684e-06,179.69077237480064,2487.4830629934836,0.036186432705034584,1000
-1.0,100.0,40.0,50.0,0.14950504469867937,0.14949954708009475,8.56600807714905,0.018647566287670347,0.171320161542981,2.1581385186590865,6.234031518147786e-05,2.017869675175291,2398.208033813395,0.0702118295182834,1000
-1.0,100.0,45.0,50.00000000000001,0.15213418507809712,0.15213274896182366,8.716646724637112,0.01810245610843478,0.1743329344927422,1.7288383006272454,6.295161105437308e-05,1.6409546063559333,2416.684538012769,0.0667421647313027,1001
-1.0,100.0,50.0,49.999999999999986,0.15481362396956086,0.15475813867555116,8.870167264581196,0.014191903251705208,0.17740334529162397,1.1637831770684954,6.370827007584535e-05,1.118695234061363,2430.0396759361643,0.07591780234015248,1000
-1.0,100.0,55.0,49.99999999999998,0.15779184804921148,0.1577094255085515,9.04080693478941,0.013524909467898891,0.18081613869578828,0.5371774709296346,6.46689146178487e-05,0.5227886944261968,2439.995305034248,0.07709279487914997,1000
-1.0,100.0,60.0,50.00000000000001,0.1610270870368577,0.16095618146321244,9.226172474497716,0.010468530869909433,0.18452344948995428,-0.14422201928698541,6.578842556892193e-05,-0.13588337408413054,2447.6507173463347,0.07661215594073759,1000
